NAME,ID,CODE
MASON,5,MASON
TRANSPORT SUPERVISOR,6,TRASUP
ELECTRICIAN,7,ELECTR
WALL PAINTER,8,WALPAI
STORE KEEPER,9,STOKEE
CLEANING SUPERVISOR - LEVEL 1,10,CSL1
DRIVER,11,DRIVER
SENIOR JANITOR - FEMALE,12,SJF
SENIOR JANITOR - MALE,13,SJM
LEAD HAND CLEANER,14,LEHACL
SENIOR OFFICE BOY,15,SEOFBO
JANITOR - MALE,16,JAMA
SENIOR CLEANING SUPERVISOR,17,SECLSU
SR. PLUMBER,18,SRPLU
STORE ASSISTANT,19,STOASS
SENIOR MANAGER - SECURITY,20,SMS
HIGH RISE CLEANER,21,HIRICL
CLEANING SUPERVISOR - LEVEL 2,22,CSL2
EXECUTIVE OFFICE BOY,23,EXOFBO
SENIOR ELECTRICIAN,24,SENELE
PLUMBER,25,PLUMBE
SENIOR EXECUTIVE - COMPENSATION & BENEFIT,26,SECB
JANITOR - FEMALE,27,JAFE
SR. SERVICES DELIVERY EXECUTIVE,28,SSDE
TRANSPORT OFFICER,29,TRAOFF
OFFICE BOY,30,OFFBOY
JUNIOR CLEANING SUPERVISOR,31,JUCLSU
TEAM LEADER,32,TEALEA
OFFICE GIRL,33,OFFGIR
SUPERVISOR - MEP,34,SUME
JUNIOR SUPERVISOR (MEP),35,JUMEP
CLEANING SUPERVISOR,36,CLESUP
SWIMMING POOL TECHNICIAN,37,SWPOTE
HELPER,38,HELPER
HELP DESK,39,HELDES
HEAVY DRIVER,40,HEADRI
ASSISTANT FACILITIES MANAGER,41,ASFAMA
ACCOUNTS ASSISTANT,42,ACCASS
FACILITIES COORDINATOR,43,FACCOO
SR. PROCUREMENT OFFICER,44,SRPROF
COORDINATOR - CLEANING,45,COCL
SR. ACCOUNTANT,46,SRACC
DIRECTOR - SOFT SERVICES,47,DSS
MULTI TECHNICAIN,48,MULTEC
A/C TECHNICIANS,49,ACTEC
MEP SUPERVISOR,50,MEPSUP
MULTI TECHNICIAN,51,MULTEC
ROPE ACCESS LEVEL-2,52,ROACLE
COORDINATOR - MEP,53,COME
CARPENTER,54,CARPEN
TEAM LEADER (MEP),55,TEMEP
QHSE MANAGER,56,QHSMAN
LIFE GUARD - MALE,57,LGM
POLISHER,58,POLISH
SENIOR BMS OPERATOR,59,SEBMOP
SENIOR MEP SUPERVISOR,60,SEMESU
SR. MULTI TECHNICIAN,61,SRMUTE
JUNIOR SUPERVISOR (SECURITY),62,JUSECURITY
SR. ADMINISTRATION COORDINATOR,63,SRADCO
PROCUREMENT OFFICER,64,PROOFF
ASSISTANT ELECTRICIAN,65,ASSELE
JR. SUPERVISOR (CLEANING),66,JRCLEANING
QHSE ENGINEER,67,QHSENG
OFFICE ASSISTANT,68,OFFASS
BMS OPERATOR,69,BMSOPE
LEAD HAND CLEANER CUM DRIVER,70,LHCCD
PROJECT COORDINATOR,71,PROCOO
SENIOR FACILITIES COORDINATOR,72,SEFACO
SOFT SERVICES TRAINER,73,SOSETR
ADMIN. COORDINATOR,74,ADMCOO
ASST. MANAGER-CLEANING SERVICE,75,ASMASE
ACCOUNTANT,76,ACCOUN
GARDENER,77,GARDEN
MACHINE OPERATOR,78,MACOPE
IRRIGATION TECHNICIAN,79,IRRTEC
WATER TANK CLEANER,80,WATACL
LEAD HAND (LANDSCAPE),81,LELANDSCAPE
LIGHT VEHICLE DRIVER,82,LIVEDR
SENIOR A/C TECHNICIAN,83,SEATE
MAID,84,MAID
LIFE GUARD,85,LIFGUA
SR. DIGITAL MARKETING EXECUTIVE,86,SDME
SENIOR SUPERVISOR - ROPE ACCESS LEVEL3,87,SSRAL
FACILITIES ENGINEER,88,FACENG
ROPE ACCESS LEVEL 1,89,RAL1
LIGHT DUTY DRIVER,90,LIDUDR
EXECUTIVE HR & TALENT ACQUISITION,91,EHTA
ENGINEER,92,ENGINE
